device_id,last_payment_date,first_name,last_name,amount
f3080600-a0bc-45a0-b5b5-fdf29af0d219,2019-11-29 23:55:42,Luella,Kewish,280.91
90c2a9a7-1569-4b3a-bf4b-5650bc19186f,2019-10-11 08:56:55,Lucy,Dempsey,133.65
c52eabe6-1654-446a-b588-f817617e943c,2019-12-07 01:01:50,Hestia,Reisin,575.89
f4d33d77-772d-41f9-848b-ccf8718a2bba,2019-11-14 20:56:48,Millard,Dandie,150.72
dc8ac936-b32c-41f3-8518-11ab787f21c7,2019-11-22 21:43:05,Gayel,Dossantos,241.76
0a678a50-6989-416e-9783-9cdf3e0775d1,2020-01-16 15:11:09,Thor,Hodcroft,447.46
fd2319c2-dd6e-47c8-9a7b-2800e5b65cce,2019-10-24 00:18:23,Constantina,Scoullar,321.28
500c6235-85cf-429a-83c5-60d9038aec34,2020-01-08 23:27:32,Laurette,Myderscough,216.88
de953043-8ec6-47d0-a9db-c9c9a3b86984,2020-01-07 18:44:52,Adams,Winstanley,130.87
f05fc26c-f412-4f27-b567-40e09d148c25,2019-12-22 04:56:14,Janette,Teague,542.94
45abce6c-39c6-479a-b71f-970e97144cb6,2019-11-25 00:21:32,Orel,Lygoe,317.56
f5a2f5c9-66dc-4ed9-b9e1-19e8fd7659f2,2020-01-26 08:46:55,Lezley,De Marchi,271.37
0e62e2a4-cdb6-4ac7-8c8f-13073ec287b4,2020-02-06 14:06:59,Moira,Curuclis,553.16
415999c8-a233-442b-abcc-de3c6fe0e739,2019-10-19 13:29:49,Garrick,Pomeroy,363.63
e617666b-1f11-4746-8fd8-74e2807afa3c,2019-11-27 13:32:51,Harriet,Mogford,328.49
3dc01aa6-76ca-49b4-a505-c9cb1d2b0ba5,2019-10-31 20:13:08,Abeu,Ayton,596.69
e7ebc7ff-570a-4b9a-bed5-b0413049c260,2020-01-19 13:38:46,Charity,Forrest,164.06
914a8fc3-72e8-4d60-afad-68fd6ed2ff19,2019-11-18 06:09:24,Alfie,Yandell,483.80
f214677e-3404-4a9c-b535-c26097e9d2b9,2020-01-03 16:58:59,Hewett,Grzeszczyk,591.52
20d0bae9-9a9d-4441-a2c6-df9e0387c952,2019-11-20 00:46:41,Ansel,Eastman,551.04
2d37293f-b366-4a1b-bc99-2503ca557397,2019-12-11 09:09:49,Hammad,Coysh,424.37
5997bc0a-ebb0-4b84-afda-29c0829ab792,2020-02-01 23:05:34,Jojo,Maddicks,329.04
ca624be9-2a1a-4031-9441-46c512667669,2019-11-29 12:14:48,Nil,Papaminas,580.59
e45675c6-dd42-4493-9d1b-36d58a361790,2020-01-13 12:10:15,Natalina,Puddefoot,274.79
72dcc672-b573-428b-acca-96ad834d52e5,2019-10-28 16:34:10,Immanuel,Sherrett,211.80
